OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10579,2.5280898876404496,127.42521523296817,89,46.348314606741575,1
OL10580,17.348484848484848,27.979634004929256,66,43.27272727272727,0
OL10581,15.603960396039604,16.171242126628528,101,53.9009900990099,0
OL10585,16.041666666666668,43.41788420069444,24,42.166666666666664,0
OL10587,8.380952380952381,77.40723561975199,21,40.857142857142854,0
OL10588,18.416666666666668,19.983089826935764,24,54.541666666666664,0
OL10589,4.333333333333333,107.44588744270834,12,39.833333333333336,0
OL10592,21.595744680851062,115.75763332564716,94,39.276595744680854,1
OL10593,24.0,8.9285714296875,12,56.0,0
OL10594,34.63636363636363,56.2750885457481,11,51.0,0
OL10595,9.444444444444445,66.17243867291667,9,51.111111111111114,0
OL10596,32.0,8.928571428125,1,35.0,0
OL10597,7.232758620689655,170.6972122663347,116,50.14655172413793,1
OL10600,18.61111111111111,15.273268401168982,18,51.111111111111114,0
OL10601,20.818181818181817,7.305194805255682,22,46.31818181818182,0
OL10602,10.285714285714286,31.052875698273812,7,33.857142857142854,0
OL10603,19.666666666666668,7.812500001180556,12,54.083333333333336,0
OL10605,25.238095238095237,27.342300554960318,21,51.142857142857146,0
OL10606,20.571428571428573,8.886054423511906,21,57.904761904761905,0
OL10607,15.76923076923077,67.299575423133,26,50.15384615384615,0
OL10608,18.0,12.012987014781297,26,58.03846153846154,0
OL10612,15.0,8.928571430958334,10,51.7,0
OL10613,9.166666666666666,57.66774891540178,12,46.5,0
OL10614,22.53846153846154,79.5816683335016,26,40.73076923076923,0
OL10615,17.23076923076923,7.829670331266026,13,57.61538461538461,0
OL10616,16.428571428571427,27.13589981247024,35,55.91428571428571,0
OL10618,21.75,12.276109308780638,24,51.333333333333336,0
OL10619,9.375,115.98417208584405,8,44.75,0
OL10620,26.05,36.094561686868055,40,40.875,0
OL10621,15.38888888888889,59.32629869780093,18,41.833333333333336,0
OL10622,9.333333333333334,32.79220778798146,30,20.333333333333332,0
OL10624,21.142857142857142,7.397959184708996,21,52.285714285714285,0
OL10626,12.705882352941176,33.62394958131127,17,50.35294117647059,0
OL10627,18.11111111111111,12.313612316018519,27,57.592592592592595,0
OL10628,16.157894736842106,25.49555707688231,19,50.0,0
OL10629,14.096774193548388,31.199727694775458,31,57.516129032258064,0
OL10630,20.464285714285715,15.069573281853991,28,57.17857142857143,0
OL10631,16.055555555555557,11.559794373544731,36,60.72222222222222,0
OL10632,14.076923076923077,6.868131869416209,26,44.23076923076923,0
OL10633,64.38095238095238,8.630952381104205,21,59.38095238095238,0
OL10634,18.21153846153846,13.384115883575642,104,43.53846153846154,0
OL10635,21.444444444444443,21.067821071296297,9,60.55555555555556,0
OL10636,18.77777777777778,13.483044734375001,18,55.77777777777778,0
OL10638,33.30769230769231,27.95621045711692,39,60.717948717948715,0
OL10639,14.25,21.93587662785233,8,50.0,0
OL10640,20.7027027027027,7.070463320731982,37,53.270270270270274,0
OL10641,18.285714285714285,12.993970317258258,56,50.589285714285715,0
OL10642,14.142857142857142,45.98794062901785,7,53.857142857142854,0
OL10643,15.793103448275861,20.87718316071663,58,32.793103448275865,0
OL10647,7.0,65.29029794044118,17,48.11764705882353,0
OL10650,7.827586206896552,49.74753694204023,29,56.172413793103445,0
OL10651,18.0,8.742559525729167,24,40.583333333333336,0
OL10652,19.93103448275862,8.004926109953376,29,47.89655172413793,0
OL10654,21.333333333333332,5.952380952083334,3,48.666666666666664,0
OL10655,9.752808988764045,57.96257113844694,89,46.359550561797754,0
OL10658,20.583333333333332,8.333333335191654,24,52.458333333333336,0
