iter	Passed	Remaining
564	36687	28245
565	36747	28177
566	36807	28108
567	36869	28041
568	36938	27979
569	36992	27906
570	37059	27843
571	37130	27782
572	37194	27717
573	37250	27646
574	37344	27602
575	37418	27544
576	37492	27485
577	37554	27418
578	37617	27352
579	37679	27285
580	37734	27213
581	37798	27147
582	37862	27081
583	37920	27011
584	37983	26945
585	38058	26887
586	38114	26816
587	38169	26744
588	38234	26679
589	38305	26619
590	38391	26568
591	38448	26498
592	38516	26435
593	38582	26371
594	38637	26299
595	38692	26228
596	38755	26161
597	38814	26092
598	38877	26026
599	38937	25958
600	38991	25885
601	39049	25816
602	39105	25745
603	39168	25680
604	39226	25610
605	39288	25543
606	39339	25470
607	39404	25405
608	39472	25342
609	39535	25276
610	39605	25215
611	39671	25151
612	39728	25081
613	39790	25015
614	39847	24945
615	39904	24875
616	39960	24805
617	40017	24735
618	40081	24670
619	40136	24599
620	40194	24530
621	40266	24470
622	40325	24402
623	40406	24347
624	40472	24283
625	40526	24212
626	40593	24148
627	40646	24077
628	40709	24011
629	40765	23941
630	40822	23872
631	40888	23808
632	40948	23741
633	41029	23686
634	41113	23632
635	41199	23579
636	41282	23525
637	41345	23459
638	41422	23401
639	41514	23351
640	41610	23304
641	41675	23239
642	41729	23168
643	41793	23103
644	41836	23026
645	41906	22964
646	41974	22900
647	42035	22833
648	42101	22769
649	42157	22700
650	42214	22631
651	42284	22569
652	42340	22499
653	42407	22435
654	42477	22373
655	42533	22304
656	42596	22238
657	42662	22174
658	42711	22101
659	42773	22034
660	42829	21965
661	42885	21896
662	42938	21825
663	42999	21758
664	43066	21695
665	43119	21624
666	43180	21557
667	43240	21490
668	43307	21427
669	43375	21364
670	43445	21301
671	43521	21242
672	43602	21185
673	43688	21131
674	43757	21068
675	43811	20998
676	43873	20932
677	43930	20863
678	43991	20797
679	44056	20732
680	44127	20670
681	44205	20612
682	44279	20551
683	44330	20479
684	44399	20417
685	44474	20357
686	44537	20291
687	44601	20226
688	44661	20159
689	44717	20090
690	44798	20033
691	44872	19972
692	44930	19904
693	44987	19836
694	45046	19768
695	45110	19703
696	45170	19636
697	45224	19567
698	45289	19502
699	45346	19434
700	45411	19369
701	45475	19304
702	45535	19237
703	45601	19173
704	45660	19106
705	45719	19038
706	45784	18974
707	45839	18905
708	45922	18848
709	46001	18789
710	46065	18724
711	46125	18657
712	46188	18591
713	46253	18527
714	46315	18461
715	46376	18395
716	46432	18327
717	46495	18261
718	46551	18193
719	46618	18129
720	46676	18062
721	46737	17995
722	46795	17928
723	46861	17864
724	46924	17798
725	46993	17735
726	47073	17676
727	47138	17612
728	47212	17551
729	47310	17498
730	47389	17438
731	47456	17374
732	47514	17307
733	47581	17243
734	47648	17179
735	47703	17111
736	47761	17043
737	47817	16975
738	47881	16910
739	47936	16842
740	48012	16781
741	48078	16717
742	48134	16649
743	48187	16580
744	48247	16514
745	48309	16448
746	48371	16382
747	48422	16313
748	48492	16250
749	48549	16183
750	48603	16114
751	48665	16049
752	48724	15982
753	48787	15917
754	48844	15850
755	48898	15782
756	48959	15716
757	49026	15652
758	49081	15584
759	49139	15517
760	49200	15452
761	49274	15390
762	49334	15323
763	49398	15259
764	49471	15197
765	49522	15128
766	49587	15063
767	49649	14998
768	49700	14929
769	49754	14861
770	49811	14794
771	49873	14729
772	49934	14663
773	50001	14599
774	50055	14532
775	50112	14465
776	50170	14399
777	50260	14341
778	50339	14281
779	50406	14217
780	50468	14151
781	50528	14085
782	50588	14019
783	50655	13955
784	50703	13886
785	50756	13819
786	50806	13750
787	50867	13685
788	50929	13619
789	50996	13556
790	51077	13495
791	51162	13436
792	51237	13374
793	51315	13313
794	51405	13255
795	51488	13195
796	51544	13128
797	51610	13064
798	51669	12998
799	51723	12930
800	51773	12862
801	51849	12800
802	51903	12733
803	51958	12666
804	52020	12601
805	52078	12535
806	52136	12468
807	52186	12400
808	52255	12337
809	52314	12271
810	52383	12207
811	52450	12143
812	52506	12077
813	52569	12012
814	52635	11948
815	52693	11881
816	52748	11815
817	52803	11748
818	52864	11683
819	52927	11618
820	52985	11552
821	53042	11486
822	53097	11419
823	53150	11352
824	53209	11286
825	53273	11222
826	53340	11158
827	53396	11091
828	53465	11028
829	53550	10968
830	53655	10911
831	53737	10850
832	53796	10785
833	53858	10720
834	53910	10652
835	53978	10589
836	54040	10524
837	54096	10457
838	54158	10392
839	54213	10326
840	54284	10263
841	54351	10198
842	54401	10131
843	54475	10069
844	54537	10003
845	54595	9938
846	54662	9874
847	54728	9809
848	54797	9746
849	54866	9682
850	54921	9616
851	54977	9550
852	55031	9483
853	55080	9416
854	55141	9351
855	55200	9286
856	55266	9221
857	55333	9157
858	55391	9092
859	55455	9027
860	55519	8963
861	55581	8898
862	55645	8833
863	55706	8768
864	55767	8703
865	55824	8637
866	55915	8577
867	55992	8514
868	56057	8450
869	56114	8384
870	56189	8322
871	56268	8259
872	56328	8194
873	56380	8128
874	56444	8063
875	56504	7998
876	56571	7934
877	56633	7869
878	56692	7804
879	56751	7738
880	56807	7673
881	56871	7608
882	56930	7543
883	57001	7479
884	57075	7416
885	57134	7351
886	57193	7286
887	57280	7224
888	57362	7162
889	57428	7097
890	57487	7032
891	57553	6968
892	57610	6902
893	57675	6838
894	57739	6773
895	57795	6708
896	57868	6644
897	57925	6579
898	57996	6515
899	58059	6451
900	58111	6385
901	58169	6319
902	58235	6255
903	58302	6191
904	58369	6127
905	58431	6062
906	58495	5997
907	58560	5933
908	58623	5868
909	58682	5803
910	58744	5739
911	58796	5673
912	58859	5608
913	58946	5546
914	59000	5480
915	59063	5416
916	59129	5351
917	59188	5287
918	59251	5222
919	59322	5158
920	59391	5094
921	59468	5030
922	59535	4966
923	59595	4901
924	59655	4836
925	59717	4772
926	59775	4707
927	59833	4642
928	59891	4577
929	59950	4512
930	60008	4447
931	60064	4382
932	60127	4317
933	60185	4252
934	60255	4188
935	60319	4124
936	60392	4060
937	60455	3995
938	60510	3930
939	60571	3866
940	60637	3801
941	60690	3736
942	60753	3672
943	60809	3607
944	60863	3542
945	60926	3477
946	60989	3413
947	61067	3349
948	61153	3286
949	61251	3223
950	61352	3161
951	61433	3097
952	61514	3033
953	61572	2968
954	61649	2904
955	61718	2840
956	61771	2775
957	61836	2710
958	61896	2646
959	61961	2581
960	62025	2517
961	62080	2452
962	62146	2387
963	62211	2323
964	62274	2258
965	62335	2193
966	62398	2129
967	62464	2064
968	62532	2000
969	62588	1935
970	62651	1871
971	62714	1806
972	62772	1741
973	62834	1677
974	62894	1612
975	62949	1547
976	63014	1483
977	63069	1418
978	63129	1354
979	63184	1289
980	63252	1225
981	63319	1160
982	63371	1095
983	63453	1031
984	63540	967
985	63628	903
986	63689	838
987	63747	774
988	63798	709
989	63866	645
990	63933	580
991	63989	516
992	64052	451
993	64117	387
994	64175	322
995	64236	257
996	64294	193
997	64360	128
998	64439	64
999	64488	0
